price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
3144,2.0,2.0,False,False,62.0,apartment,Eixample
1550,3.0,1.0,False,False,63.0,apartment,Sants-Montjuïc
1800,1.0,1.0,False,False,55.0,apartment,Sants-Montjuïc
2400,2.0,1.0,False,False,65.0,apartment,Ciutat Vella
1600,1.0,1.0,False,False,48.0,apartment,Ciutat Vella
976,3.0,1.0,False,False,80.0,apartment,Ciutat Vella
976,3.0,1.0,False,False,80.0,apartment,Ciutat Vella
2021,2.0,1.0,False,False,60.0,apartment,Eixample
1540,2.0,1.0,False,False,75.0,apartment,Eixample
900,2.0,2.0,True,False,60.0,flat,Ciutat Vella
890,1.0,1.0,True,False,40.0,study,Sarria-Sant Gervasi
1500,1.0,1.0,True,False,58.0,apartment,Sant Martí
2300,3.0,2.0,True,False,90.0,apartment,Eixample
1970,2.0,2.0,True,False,73.0,flat,Sant Martí
1210,2.0,1.0,True,False,47.0,flat,Sant Martí
1185,2.0,1.0,False,False,47.0,flat,Sant Martí
2250,3.0,2.0,True,False,100.0,apartment,Eixample
1900,2.0,2.0,True,False,73.0,flat,Sant Martí
1250,3.0,1.0,True,False,75.0,flat,Les Corts
795,2.0,2.0,True,True,59.0,flat,Nou Barris
780,3.0,1.0,True,False,68.0,flat,Horta- Guinardo
950,3.0,1.0,False,True,101.0,flat,Ciutat Vella
895,3.0,1.0,False,True,85.0,flat,Gràcia
995,4.0,2.0,True,False,90.0,flat,Sants-Montjuïc
780,2.0,1.0,False,False,51.0,flat,Nou Barris
2400,3.0,3.0,True,False,140.0,flat,Sarria-Sant Gervasi
1170,2.0,1.0,True,True,72.0,flat,Eixample
2200,2.0,1.0,True,False,65.0,flat,Sarria-Sant Gervasi
2700,3.0,2.0,True,False,85.0,flat,Sarria-Sant Gervasi
1600,0.0,1.0,True,False,60.0,flat,Eixample
1300,3.0,1.0,True,False,85.0,flat,Eixample
650,0.0,1.0,True,False,28.0,apartment,Ciutat Vella
730,1.0,1.0,False,False,40.0,flat,Ciutat Vella
1750,3.0,2.0,True,False,140.0,flat,Sarria-Sant Gervasi
1250,2.0,2.0,True,False,70.0,flat,Eixample
1000,1.0,1.0,True,True,51.0,flat,Gràcia
1220,1.0,1.0,True,False,75.0,apartment,Sarria-Sant Gervasi
800,2.0,1.0,True,False,60.0,flat,Gràcia
2700,7.0,3.0,True,False,250.0,flat,Eixample
