price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
1300,3,1,True,False,85,flat,Eixample
650,0,1,True,False,28,apartment,Ciutat Vella
730,1,1,False,False,40,flat,Ciutat Vella
1750,3,2,True,False,140,flat,Sarria-Sant Gervasi
1250,2,2,True,False,70,flat,Eixample
1000,1,1,True,True,51,flat,Gràcia
1220,1,1,True,False,75,apartment,Sarria-Sant Gervasi
800,2,1,True,False,60,flat,Gràcia
2700,7,3,True,False,250,flat,Eixample
980,3,1,True,False,67,flat,Eixample
1195,1,1,True,False,95,flat,Sant Andreu
1050,1,1,True,False,61,apartment,Ciutat Vella
1700,4,2,True,True,95,flat,Eixample
1800,4,2,True,True,92,flat,Eixample
1350,4,2,True,False,120,flat,Eixample
930,2,1,True,True,70,flat,Sants-Montjuïc
995,4,1,True,True,87,flat,Horta- Guinardo
1200,2,1,True,True,65,flat,Sarria-Sant Gervasi
850,2,1,True,False,47,flat,Ciutat Vella
990,2,2,False,False,80,flat,Sarria-Sant Gervasi
2550,2,2,True,False,123,flat,Ciutat Vella
1150,2,1,True,False,60,apartment,Ciutat Vella
1200,3,1,True,False,75,apartment,Ciutat Vella
1300,2,1,False,False,70,flat,Ciutat Vella
1350,2,1,True,False,65,flat,Ciutat Vella
2000,2,2,True,True,115,flat,Ciutat Vella
850,1,1,False,False,40,apartment,Ciutat Vella
1475,2,2,False,False,121,flat,Ciutat Vella
1400,1,1,True,False,33,flat,Ciutat Vella
900,1,1,False,False,36,flat,Ciutat Vella
950,3,2,False,False,75,flat,Ciutat Vella
1300,1,1,False,False,68,flat,Ciutat Vella
1250,2,2,True,True,103,flat,Ciutat Vella
1100,3,2,True,False,85,flat,Ciutat Vella
2000,2,2,True,True,120,flat,Ciutat Vella
1100,1,1,True,False,68,flat,Ciutat Vella
1100,1,1,True,False,50,flat,Ciutat Vella
1600,3,2,True,False,122,flat,Ciutat Vella
1800,3,2,True,False,85,flat,Ciutat Vella
1000,3,1,False,False,70,flat,Ciutat Vella
702,2,1,True,False,37,flat,Ciutat Vella
3000,4,2,False,True,180,flat,Ciutat Vella
1700,2,2,True,False,120,flat,Ciutat Vella
1350,5,2,False,False,112,flat,Ciutat Vella
1600,3,2,True,False,86,attic,Ciutat Vella
1175,3,2,False,False,97,flat,Ciutat Vella
1250,2,2,True,False,46,flat,Ciutat Vella
2500,3,2,True,False,139,apartment,Ciutat Vella
1100,2,1,True,False,46,flat,Ciutat Vella
800,3,1,False,False,55,flat,Ciutat Vella
1360,2,1,True,True,57,apartment,Ciutat Vella
1700,2,2,False,True,151,flat,Ciutat Vella
2000,2,2,False,False,121,flat,Ciutat Vella
1500,3,2,True,False,89,flat,Ciutat Vella
1100,1,1,True,True,40,flat,Ciutat Vella
690,1,1,False,False,37,flat,Ciutat Vella
1500,1,2,False,False,110,flat,Ciutat Vella
1690,3,2,False,False,130,apartment,Ciutat Vella
1100,2,2,True,False,58,flat,Ciutat Vella
2200,2,2,True,True,90,flat,Ciutat Vella
1290,4,2,True,False,120,apartment,Ciutat Vella
1350,2,2,True,False,46,flat,Ciutat Vella
1290,2,1,False,False,62,flat,Ciutat Vella
1900,2,2,True,False,99,flat,Ciutat Vella
1400,2,2,True,True,65,flat,Ciutat Vella
800,2,1,False,False,50,flat,Ciutat Vella
1500,2,1,True,True,62,apartment,Ciutat Vella
900,2,1,True,False,60,flat,Ciutat Vella
1050,1,1,False,False,80,flat,Ciutat Vella
1250,2,2,True,True,67,flat,Ciutat Vella
1130,1,1,True,True,47,apartment,Ciutat Vella
1000,2,3,True,False,70,apartment,Ciutat Vella
1200,1,1,True,False,65,flat,Ciutat Vella
1250,2,1,True,True,62,apartment,Ciutat Vella
1100,1,1,True,False,110,flat,Ciutat Vella
2300,4,3,True,False,147,apartment,Ciutat Vella
1350,2,2,False,False,60,flat,Ciutat Vella
1200,2,2,False,False,70,flat,Ciutat Vella
2500,2,2,True,False,122,apartment,Ciutat Vella
2700,4,2,True,True,162,apartment,Ciutat Vella
1400,3,1,True,False,80,flat,Ciutat Vella
1500,2,2,True,True,98,flat,Ciutat Vella
1350,1,1,False,True,35,flat,Ciutat Vella
1250,2,1,False,False,65,flat,Ciutat Vella
1100,2,2,True,False,75,apartment,Ciutat Vella
1000,1,1,True,True,40,flat,Ciutat Vella
1250,2,2,True,False,46,flat,Ciutat Vella
1000,2,2,True,False,66,apartment,Ciutat Vella
1200,4,2,True,False,130,flat,Ciutat Vella
1600,3,2,True,False,173,flat,Ciutat Vella
1500,2,2,True,True,86,flat,Ciutat Vella
1200,2,1,False,False,85,flat,Ciutat Vella
2290,4,2,True,True,180,flat,Gràcia
1900,3,1,True,True,125,flat,Gràcia
1300,3,2,True,True,100,flat,Gràcia
2500,2,2,True,True,72,flat,Gràcia
1800,2,1,False,True,100,flat,Gràcia
1200,2,1,True,False,77,flat,Gràcia
1350,1,1,False,True,50,apartment,Gràcia
1250,2,2,False,False,75,flat,Gràcia
1480,2,2,True,False,100,flat,Gràcia
1300,2,1,True,False,60,apartment,Gràcia
1350,2,1,True,False,60,apartment,Gràcia
1800,3,2,True,False,100,flat,Gràcia
1900,1,1,False,True,80,flat,Gràcia
1300,3,1,False,True,85,flat,Gràcia
1400,3,2,False,False,125,flat,Gràcia
1835,1,1,True,False,59,flat,Gràcia
1400,2,1,True,False,55,flat,Gràcia
1900,1,1,False,True,80,flat,Gràcia
1500,1,1,False,True,94,flat,Gràcia
1800,2,1,True,False,100,flat,Gràcia
1800,2,1,False,True,65,attic,Gràcia
2050,3,2,True,True,177,flat,Gràcia
1300,4,1,False,True,85,flat,Gràcia
1300,4,1,True,False,107,flat,Les Corts
990,2,1,True,False,74,flat,Eixample
1200,3,2,True,True,77,flat,Sants-Montjuïc
2229,3,2,False,False,80,apartment,Eixample
2150,1,1,False,False,35,apartment,Sants-Montjuïc
1806,2,2,False,False,80,apartment,Sant Martí
2155,3,2,False,False,80,apartment,Eixample
2317,3,2,False,False,80,apartment,Eixample
2008,3,2,False,False,80,apartment,Eixample
2040,1,1,False,False,45,apartment,Sants-Montjuïc
2760,3,2,False,False,80,apartment,Eixample
950,1,1,True,True,40,attic,Eixample
900,1,1,True,False,45,flat,Eixample
850,1,1,True,False,50,flat,Ciutat Vella
1000,3,2,True,False,88,flat,Eixample
950,2,1,True,False,45,flat,Eixample
1500,3,2,False,False,92,flat,Sarria-Sant Gervasi
1600,3,2,True,True,100,flat,Sarria-Sant Gervasi
1000,1,2,True,False,50,flat,Eixample
1200,1,1,True,False,50,flat,Eixample
1350,3,1,True,True,120,flat,Eixample
1425,2,2,True,False,88,flat,Les Corts
1550,5,2,True,True,146,flat,Les Corts
1495,4,2,True,False,123,flat,Les Corts
950,2,1,True,False,62,flat,Eixample
950,1,1,True,False,50,flat,Eixample
2300,2,2,False,False,96,flat,Ciutat Vella
1500,2,2,True,False,88,flat,Sarria-Sant Gervasi
2300,4,2,True,False,158,flat,Sarria-Sant Gervasi
1100,2,1,True,False,57,flat,Eixample
1100,1,1,True,True,45,attic,Sarria-Sant Gervasi
1150,1,1,True,False,40,flat,Sarria-Sant Gervasi
1060,4,2,True,False,98,flat,Sarria-Sant Gervasi
750,1,1,False,False,60,flat,Sants-Montjuïc
1000,3,1,True,True,71,attic,Horta- Guinardo
750,2,1,False,False,52,flat,Sants-Montjuïc
1200,2,2,True,False,113,flat,Eixample
700,1,1,True,False,50,flat,Ciutat Vella
1125,2,1,True,True,75,flat,Ciutat Vella
1300,2,1,True,False,80,flat,Eixample
970,2,1,True,True,43,flat,Sarria-Sant Gervasi
1950,5,3,True,True,170,flat,Sarria-Sant Gervasi
1000,3,1,True,True,70,flat,Eixample
1850,3,2,True,True,100,flat,Sarria-Sant Gervasi
1290,3,2,True,False,100,flat,Eixample
950,1,1,True,False,54,flat,Ciutat Vella
1500,2,2,True,False,95,flat,Eixample
650,1,1,True,False,25,flat,Eixample
750,1,1,False,False,22,flat,Ciutat Vella
1080,2,1,False,False,75,flat,Sarria-Sant Gervasi
890,1,1,True,False,54,flat,Sarria-Sant Gervasi
