price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
850,1,1,True,False,61,flat,0,1,0,0,0,0,0,0,0
850,2,1,True,False,53,flat,0,0,0,0,0,0,0,0,0
900,3,1,True,False,77,flat,1,0,0,0,0,0,0,0,0
2000,4,3,True,False,202,flat,1,0,0,0,0,0,0,0,0
1100,2,2,True,False,92,flat,0,0,0,0,0,0,0,0,0
850,3,1,True,False,61,flat,0,1,0,0,0,0,0,0,0
2850,3,2,True,False,171,flat,1,0,0,0,0,0,0,0,0
2500,3,2,True,False,180,apartment,1,0,0,0,0,0,0,0,0
1500,2,2,True,False,60,apartment,1,0,0,0,0,0,0,0,0
2057,1,1,True,False,74,apartment,0,0,0,0,0,0,1,0,0
1800,3,2,False,False,100,apartment,0,0,0,0,0,0,0,0,0
1800,1,1,False,False,90,apartment,0,1,0,0,0,0,0,0,0
1550,3,1,False,False,63,apartment,0,0,0,0,0,0,0,1,0
1800,1,1,False,False,55,apartment,0,0,0,0,0,0,0,1,0
2400,2,1,False,False,65,apartment,0,0,0,0,0,0,0,0,0
1600,1,1,False,False,48,apartment,0,0,0,0,0,0,0,0,0
976,3,1,False,False,80,apartment,0,0,0,0,0,0,0,0,0
976,3,1,False,False,80,apartment,0,0,0,0,0,0,0,0,0
2021,2,1,False,False,60,apartment,1,0,0,0,0,0,0,0,0
1540,2,1,False,False,75,apartment,1,0,0,0,0,0,0,0,0
900,2,2,True,False,60,flat,0,0,0,0,0,0,0,0,0
890,1,1,True,False,40,study,0,0,0,0,0,0,0,0,1
1500,1,1,True,False,58,apartment,0,0,0,0,0,0,1,0,0
2300,3,2,True,False,90,apartment,1,0,0,0,0,0,0,0,0
1970,2,2,True,False,73,flat,0,0,0,0,0,0,1,0,0
1210,2,1,True,False,47,flat,0,0,0,0,0,0,1,0,0
1185,2,1,False,False,47,flat,0,0,0,0,0,0,1,0,0
2250,3,2,True,False,100,apartment,1,0,0,0,0,0,0,0,0
1900,2,2,True,False,73,flat,0,0,0,0,0,0,1,0,0
1250,3,1,True,False,75,flat,0,0,0,1,0,0,0,0,0
795,2,2,True,True,59,flat,0,0,0,0,1,0,0,0,0
780,3,1,True,False,68,flat,0,0,1,0,0,0,0,0,0
950,3,1,False,True,101,flat,0,0,0,0,0,0,0,0,0
895,3,1,False,True,85,flat,0,1,0,0,0,0,0,0,0
995,4,2,True,False,90,flat,0,0,0,0,0,0,0,1,0
780,2,1,False,False,51,flat,0,0,0,0,1,0,0,0,0
2400,3,3,True,False,140,flat,0,0,0,0,0,0,0,0,1
1170,2,1,True,True,72,flat,1,0,0,0,0,0,0,0,0
2200,2,1,True,False,65,flat,0,0,0,0,0,0,0,0,1
2700,3,2,True,False,85,flat,0,0,0,0,0,0,0,0,1
1600,0,1,True,False,60,flat,1,0,0,0,0,0,0,0,0
1300,3,1,True,False,85,flat,1,0,0,0,0,0,0,0,0
650,0,1,True,False,28,apartment,0,0,0,0,0,0,0,0,0
730,1,1,False,False,40,flat,0,0,0,0,0,0,0,0,0
1750,3,2,True,False,140,flat,0,0,0,0,0,0,0,0,1
1250,2,2,True,False,70,flat,1,0,0,0,0,0,0,0,0
1000,1,1,True,True,51,flat,0,1,0,0,0,0,0,0,0
1220,1,1,True,False,75,apartment,0,0,0,0,0,0,0,0,1
800,2,1,True,False,60,flat,0,1,0,0,0,0,0,0,0
2700,7,3,True,False,250,flat,1,0,0,0,0,0,0,0,0
980,3,1,True,False,67,flat,1,0,0,0,0,0,0,0,0
1195,1,1,True,False,95,flat,0,0,0,0,0,1,0,0,0
1050,1,1,True,False,61,apartment,0,0,0,0,0,0,0,0,0
1700,4,2,True,True,95,flat,1,0,0,0,0,0,0,0,0
1800,4,2,True,True,92,flat,1,0,0,0,0,0,0,0,0
1350,4,2,True,False,120,flat,1,0,0,0,0,0,0,0,0
930,2,1,True,True,70,flat,0,0,0,0,0,0,0,1,0
995,4,1,True,True,87,flat,0,0,1,0,0,0,0,0,0
1200,2,1,True,True,65,flat,0,0,0,0,0,0,0,0,1
850,2,1,True,False,47,flat,0,0,0,0,0,0,0,0,0
990,2,2,False,False,80,flat,0,0,0,0,0,0,0,0,1
2550,2,2,True,False,123,flat,0,0,0,0,0,0,0,0,0
1150,2,1,True,False,60,apartment,0,0,0,0,0,0,0,0,0
1200,3,1,True,False,75,apartment,0,0,0,0,0,0,0,0,0
1300,2,1,False,False,70,flat,0,0,0,0,0,0,0,0,0
